id_personne,code_dept_naiss,code_lim_jur,code_pays_naiss,code_pays_nat_1,code_sit_familiale,intitule_lieu_naissance
0000000060,45,NULL,FR,FR,02,ORLEANS
0000000130,53,NULL,FR,FR,02,VILLAINES LA JUHEL
0000000280,56,NULL,FR,FR,01,HENNEBONT
0000000460,45,NULL,FR,FR,01,ORLEANS
0000000670,28,NULL,FR,FR,02,JANVILLE
0000000720,91,NULL,FR,FR,02,ETAMPES
0000000860,45,NULL,FR,FR,07,MONTARGIS
0000001040,NULL,NULL,FR,FR,01,
0000001210,45,NULL,FR,FR,01,ORLEANS
0000001340,NULL,NULL,FR,NULL,02,
0000001630,44,NULL,FR,FR,04,NANTES
0000002060,78,NULL,FR,FR,07,VERSAILLES
0000002460,45,NULL,FR,FR,02,ORLEANS
0000002890,24,NULL,FR,FR,05,ST GEORGES DE MONTCLAR
0000002960,45,NULL,FR,FR,01,ORLEANS
0000003790,72,NULL,FR,FR,03,LE MANS
0000003860,45,NULL,FR,FR,03,ORLEANS
0000004050,61,NULL,FR,FR,01,L AIGLE
0000004160,21,NULL,FR,FR,01,DIJON
0000004430,24,NULL,FR,FR,02,JUNILHAC LE GRAND
0000004450,88,NULL,FR,FR,02,SAINT-DIE
0000004490,84,NULL,FR,FR,02,VALREAS
0000004510,70,NULL,FR,FR,02,BASSIGNEY
0000004590,NULL,NULL,FR,FR,02,
0000004650,22,NULL,FR,FR,02,PLESSALA
0000004680,41,NULL,FR,FR,02,ST AIGNAN
0000004690,28,NULL,FR,FR,02,UNVERRE
0000004790,22,NULL,FR,FR,07,ST BRIEUC
0000004850,37,NULL,FR,FR,02,TOURS
0000004890,45,NULL,FR,FR,02,ORLEANS
0000004960,37,NULL,FR,FR,03,TOURS
0000005030,28,NULL,FR,FR,02,PRUNAY LE GILLON
0000005070,NULL,NULL,FR,FR,01,
0000005100,45,NULL,FR,FR,01,MARDIE
0000005120,NULL,NULL,MA,FR,01,INEZGANE
0000005230,18,NULL,FR,FR,01,BRINON SUR SAULDRE
0000005240,NULL,NULL,FR,FR,01,
0000005300,37,NULL,FR,FR,07,CHINON
0000005330,45,NULL,FR,FR,02,COINCES
0000005400,NULL,NULL,FR,FR,05,
0000005540,45,NULL,FR,FR,02,ORLEANS
0000005570,45,NULL,FR,FR,07,ORLEANS
0000005670,45,NULL,FR,FR,01,ST JEAN DE BRAYE
0000005730,45,NULL,FR,FR,01,BEAUGENCY
0000005740,45,NULL,FR,FR,02,BRAY EN VAL
0000005760,77,NULL,FR,FR,02,VARREDDES
0000005910,45,NULL,FR,FR,02,FLEURY LES AUBRAIS
0000006140,37,NULL,FR,FR,02,VILLEPERDU
0000006180,NULL,NULL,FR,FR,02,
0000006240,22,NULL,FR,FR,03,ST QUAY PORTRIEUX
0000006360,NULL,NULL,FR,NULL,02,
0000006380,45,NULL,FR,FR,07,CHANTEAU
0000006430,48,NULL,FR,FR,02,LANGOGNE
0000006670,45,NULL,FR,FR,02,ORLEANS
0000006720,45,NULL,FR,FR,02,ORLEANS
0000006730,45,NULL,FR,FR,07,BUCY LE ROI
0000006780,NULL,NULL,FR,FR,02,
0000006870,45,NULL,FR,FR,02,ORLEANS
0000006890,53,NULL,FR,FR,02,OISSEAU
0000007000,NULL,NULL,FR,FR,07,
