id_personne;code_dept_naiss;code_lim_jur;code_pays_naiss;code_pays_nat_1;code_sit_familiale;intitule_lieu_naissance
60;45;NULL;FR;FR;2;ORLEANS
130;53;NULL;FR;FR;2;VILLAINES LA JUHEL
280;56;NULL;FR;FR;1;HENNEBONT
460;45;NULL;FR;FR;1;ORLEANSXXXXXX
670;28;NULL;FR;FR;2;JANVILLE
720;91;NULL;FR;FR;2;ETAMPES
860;45;NULL;FR;FR;7;MONTARGIS
1040;NULL;NULL;FR;FR;1;
1210;45;NULL;FR;FR;1;ORLEANS
1340;NULL;NULL;FR;NULL;2;
1630;44;NULL;FR;FR;4;NANTES
2060;78;NULL;FR;FR;7;VERSAILLES
2460;45;NULL;FR;FR;2;ORLEANS
2890;24;NULL;FR;FR;5;ST GEORGES DE MONTCLAR
2960;45;NULL;FR;FR;1;ORLEANS
3790;72;NULL;FR;FR;3;LE MANS
3860;45;NULL;FR;FR;3;ORLEANS
4050;61;NULL;FR;FR;1;L AIGLE
4160;21;NULL;FR;FR;1;DIJON
4430;24;NULL;FR;FR;2;JUNILHAC LE GRAND
4450;88;NULL;FR;FR;2;SAINT-DIE
4490;84;NULL;FR;FR;2;VALREAS
4510;70;NULL;FR;FR;2;BASSIGNEY
4590;NULL;NULL;FR;FR;2;
4650;22;NULL;FR;FR;2;PLESSALA
4680;41;NULL;FR;FR;2;ST AIGNAN
4690;28;NULL;FR;FR;2;UNVERRE
4790;22;NULL;FR;FR;7;ST BRIEUC
4850;37;NULL;FR;FR;2;TOURS
4890;45;NULL;FR;FR;2;ORLEANS
4960;37;NULL;FR;FR;3;TOURS
5030;28;NULL;FR;FR;2;PRUNAY LE GILLON
5070;NULL;NULL;FR;FR;1;
5100;45;NULL;FR;FR;1;MARDIE
5120;NULL;NULL;MA;FR;1;INEZGANE
5230;18;NULL;FR;FR;1;BRINON SUR SAULDRE
5240;NULL;NULL;FR;FR;1;
5300;37;NULL;FR;FR;7;CHINON
